# r g_avg g_std
# polymer_length=18 dr=0.1000
0.050000 0.000000 0.000000
0.150000 0.511676 1.354057
0.250000 0.621940 0.905399
0.350000 0.545698 0.624106
0.450000 0.574623 0.493371
0.550000 0.592015 0.404465
0.650000 0.578854 0.345471
0.750000 0.593834 0.298770
0.850000 0.608126 0.265962
0.950000 0.603955 0.240211
1.050000 0.631025 0.219617
1.150000 0.632212 0.196660
1.250000 0.646462 0.184372
1.350000 0.667225 0.174776
1.450000 0.663006 0.160431
1.550000 0.693839 0.152820
1.650000 0.705520 0.147470
1.750000 0.729020 0.138457
1.850000 0.735042 0.133690
1.950000 0.748077 0.127138
2.050000 0.782868 0.123556
2.150000 0.787631 0.119258
2.250000 0.814709 0.114051
2.350000 0.832951 0.110850
2.450000 0.839969 0.108926
2.550000 0.868712 0.104868
2.650000 0.869640 0.101142
2.750000 0.899004 0.099024
2.850000 0.892084 0.097149
2.950000 0.923107 0.092554
3.050000 0.929669 0.090473
3.150000 0.942689 0.088722
3.250000 0.942233 0.085958
3.350000 0.955535 0.084837
3.450000 0.966719 0.082463
3.550000 0.979116 0.080919
3.650000 0.978370 0.077643
3.750000 0.986203 0.077106
3.850000 0.983548 0.072739
3.950000 0.985806 0.074360
4.050000 1.008449 0.070954
4.150000 0.995629 0.068986
4.250000 1.005093 0.068974
4.350000 0.996406 0.066263
4.450000 1.001635 0.065668
4.550000 1.010580 0.063974
4.650000 1.012753 0.063086
4.750000 1.000620 0.059070
4.850000 1.007726 0.060527
4.950000 1.007763 0.059110
5.050000 1.010868 0.056793
5.150000 1.001429 0.056852
5.250000 1.012333 0.055496
5.350000 1.005477 0.053926
5.450000 1.001439 0.053308
5.550000 1.005913 0.052228
5.650000 1.008420 0.050704
5.750000 1.006174 0.050018
5.850000 1.001386 0.049792
5.950000 1.001509 0.048006
6.050000 1.006565 0.046385
6.150000 1.003460 0.046848
6.250000 1.003498 0.046827
6.350000 1.000725 0.045553
6.450000 1.001755 0.044351
6.550000 0.999162 0.044444
6.650000 1.005167 0.043160
6.750000 0.999834 0.043051
6.850000 1.003139 0.041623
6.950000 1.003804 0.040618
7.050000 0.999719 0.040689
7.150000 1.003348 0.040822
7.250000 1.000424 0.039981
7.350000 1.002853 0.040049
7.450000 0.994511 0.038280
7.550000 1.005066 0.038576
7.650000 0.996977 0.038771
7.750000 1.000880 0.036634
7.850000 0.999790 0.036982
7.950000 0.999348 0.036149
8.050000 1.002224 0.035373
8.150000 0.998669 0.034752
8.250000 0.995859 0.034689
8.350000 1.003586 0.034378
8.450000 0.995863 0.033493
8.550000 1.004722 0.033567
8.650000 1.000390 0.033345
8.750000 0.994138 0.032559
8.850000 1.005820 0.032195
8.950000 0.995897 0.032672
9.050000 1.004648 0.031470
9.150000 0.997568 0.031506
9.250000 1.000607 0.031670
9.350000 1.000829 0.030962
9.450000 0.998380 0.030626
9.550000 0.999667 0.030069
9.650000 0.999597 0.029914
9.750000 0.999498 0.029256
9.850000 1.001452 0.029489
9.950000 0.995892 0.028985
10.050000 1.003638 0.028482
10.150000 0.997325 0.028254
10.250000 1.001682 0.028263
10.350000 0.996936 0.027698
10.450000 1.000085 0.027296
