# r g_avg g_std
# polymer_length=24 dr=0.1000
0.050000 0.000000 0.000000
0.150000 0.610727 1.721665
0.250000 0.597978 1.035120
0.350000 0.644133 0.767628
0.450000 0.590883 0.556732
0.550000 0.636946 0.481654
0.650000 0.629884 0.400534
0.750000 0.608072 0.345253
0.850000 0.646509 0.315305
0.950000 0.629951 0.281899
1.050000 0.644083 0.254478
1.150000 0.667138 0.238359
1.250000 0.664513 0.213202
1.350000 0.671786 0.200071
1.450000 0.681452 0.191716
1.550000 0.694972 0.174971
1.650000 0.697802 0.165681
1.750000 0.723232 0.163108
1.850000 0.728202 0.152912
1.950000 0.739651 0.147665
2.050000 0.769518 0.139743
2.150000 0.761090 0.134486
2.250000 0.787855 0.128231
2.350000 0.797457 0.126685
2.450000 0.804099 0.121149
2.550000 0.829697 0.116164
2.650000 0.840089 0.112217
2.750000 0.851409 0.110713
2.850000 0.863227 0.108130
2.950000 0.870419 0.102937
3.050000 0.898208 0.101461
3.150000 0.898450 0.099947
3.250000 0.906478 0.097720
3.350000 0.922088 0.093848
3.450000 0.928225 0.090222
3.550000 0.941167 0.089089
3.650000 0.948788 0.088895
3.750000 0.953355 0.085602
3.850000 0.958332 0.083781
3.950000 0.968356 0.081242
4.050000 0.976593 0.080089
4.150000 0.979052 0.079865
4.250000 0.985341 0.077277
4.350000 0.983656 0.074442
4.450000 0.987895 0.072451
4.550000 0.994775 0.071601
4.650000 0.992899 0.071000
4.750000 0.999792 0.070515
4.850000 0.999270 0.068788
4.950000 0.995267 0.067413
5.050000 1.002219 0.066451
5.150000 1.007005 0.064819
5.250000 1.004038 0.062388
5.350000 1.007219 0.062216
5.450000 1.001589 0.061194
5.550000 1.005090 0.057558
5.650000 1.008228 0.058077
5.750000 1.000734 0.057104
5.850000 1.008971 0.055921
5.950000 1.003278 0.055074
6.050000 1.007190 0.055107
6.150000 1.007154 0.054582
6.250000 1.005687 0.052581
6.350000 1.004348 0.051829
6.450000 1.003355 0.051315
6.550000 1.004679 0.050004
6.650000 1.006796 0.049176
6.750000 1.005570 0.048521
6.850000 1.002905 0.048983
6.950000 1.002369 0.047592
7.050000 1.005586 0.047736
7.150000 1.001699 0.046466
7.250000 1.003478 0.044242
7.350000 1.000271 0.044152
7.450000 0.999325 0.043925
7.550000 1.004548 0.043494
7.650000 1.000791 0.043063
7.750000 0.999979 0.042165
7.850000 1.003519 0.041199
7.950000 1.000589 0.041401
8.050000 1.001757 0.041539
8.150000 1.001320 0.039732
8.250000 0.999094 0.039326
8.350000 1.002513 0.038792
8.450000 0.999160 0.038631
8.550000 1.002816 0.039336
8.650000 0.999852 0.038279
8.750000 1.000251 0.037149
8.850000 0.999787 0.036706
8.950000 0.998494 0.037613
9.050000 1.003371 0.036977
9.150000 0.998810 0.035257
9.250000 1.000834 0.034592
9.350000 1.000374 0.034776
9.450000 0.998262 0.034587
9.550000 1.001605 0.034488
9.650000 1.000064 0.034105
9.750000 0.999755 0.034622
9.850000 0.999550 0.033488
9.950000 0.998760 0.033630
10.050000 1.000620 0.032198
10.150000 1.000880 0.032519
10.250000 0.999382 0.032365
10.350000 0.998137 0.031825
10.450000 0.999429 0.030728
10.550000 1.000117 0.031273
10.650000 1.000133 0.030940
10.750000 0.998711 0.031014
10.850000 0.999241 0.030827
10.950000 0.999041 0.030137
11.050000 1.001501 0.029498
11.150000 0.998460 0.030040
11.250000 1.002015 0.029109
11.350000 0.999072 0.029491
11.450000 0.998272 0.028822
11.550000 1.001764 0.028324
11.650000 0.998146 0.027917
11.750000 1.002666 0.028233
11.850000 0.998970 0.027546
11.950000 0.998249 0.027390
