# r g_avg g_std
# polymer_length=8 dr=0.1000
0.050000 0.000000 0.000000
0.150000 0.524631 1.007647
0.250000 0.405969 0.538360
0.350000 0.503771 0.430556
0.450000 0.378391 0.286199
0.550000 0.501304 0.273028
0.650000 0.496077 0.226387
0.750000 0.422734 0.186966
0.850000 0.565270 0.185933
0.950000 0.520803 0.162469
1.050000 0.639646 0.157746
1.150000 0.599233 0.137732
1.250000 0.624874 0.130599
1.350000 0.660736 0.124293
1.450000 0.647720 0.115186
1.550000 0.765037 0.117419
1.650000 0.752778 0.107650
1.750000 0.858461 0.109318
1.850000 0.854276 0.103128
1.950000 0.819527 0.095502
2.050000 0.944577 0.099880
2.150000 0.914354 0.091716
2.250000 0.897698 0.087519
2.350000 0.922028 0.084184
2.450000 0.995658 0.083705
2.550000 0.979366 0.081062
2.650000 1.017703 0.078830
2.750000 1.002402 0.075118
2.850000 1.000145 0.072128
2.950000 0.984661 0.069281
3.050000 1.051773 0.069270
3.150000 1.002126 0.064716
3.250000 0.989610 0.062964
3.350000 1.022675 0.064137
3.450000 1.015204 0.060169
3.550000 1.022405 0.058966
3.650000 1.016156 0.056387
3.750000 0.987782 0.054749
3.850000 1.010313 0.054890
3.950000 0.991820 0.052191
4.050000 1.025677 0.051326
4.150000 0.986474 0.050208
4.250000 1.026781 0.049071
4.350000 1.003649 0.048559
4.450000 0.979088 0.045612
4.550000 1.021020 0.045675
4.650000 0.993227 0.044066
4.750000 1.002414 0.043915
4.850000 0.983613 0.043538
4.950000 0.998230 0.042084
5.050000 0.997365 0.040492
5.150000 1.015729 0.040164
5.250000 1.002360 0.039984
5.350000 1.017485 0.038534
5.450000 0.973690 0.038029
5.550000 1.021487 0.037750
5.650000 0.983649 0.036441
5.750000 0.999567 0.036569
5.850000 1.010303 0.035239
5.950000 0.972281 0.034277
6.050000 1.025617 0.034718
6.150000 0.995378 0.033805
6.250000 1.012799 0.032961
6.350000 1.002531 0.033281
6.450000 0.975219 0.032411
6.550000 1.001523 0.031484
6.650000 0.998787 0.030497
6.750000 1.004310 0.030745
6.850000 1.006124 0.030541
6.950000 0.986194 0.029439
7.050000 1.020377 0.029932
7.150000 0.995685 0.028718
7.250000 1.000301 0.028010
7.350000 0.976226 0.027903
7.450000 0.993893 0.027778
