# r g_avg g_std
# polymer_length=14 dr=0.1000
0.050000 0.000000 0.000000
0.150000 0.488512 1.209793
0.250000 0.550121 0.765266
0.350000 0.543927 0.552565
0.450000 0.511790 0.411492
0.550000 0.586964 0.356676
0.650000 0.523477 0.290443
0.750000 0.578603 0.268111
0.850000 0.580805 0.231068
0.950000 0.581981 0.208358
1.050000 0.618964 0.198397
1.150000 0.611903 0.177475
1.250000 0.632607 0.163672
1.350000 0.631833 0.149765
1.450000 0.671798 0.143675
1.550000 0.689791 0.137148
1.650000 0.720134 0.131863
1.750000 0.743728 0.127361
1.850000 0.746728 0.118330
1.950000 0.768862 0.116998
2.050000 0.789492 0.109763
2.150000 0.831044 0.109327
2.250000 0.846923 0.104902
2.350000 0.856863 0.100976
2.450000 0.881801 0.097763
2.550000 0.895343 0.095175
2.650000 0.926869 0.093897
2.750000 0.910895 0.088102
2.850000 0.947523 0.087193
2.950000 0.948685 0.084529
3.050000 0.978636 0.085802
3.150000 0.973300 0.079768
3.250000 0.981625 0.081059
3.350000 0.984913 0.075808
3.450000 0.974431 0.074809
3.550000 1.013203 0.073550
3.650000 0.998152 0.070048
3.750000 0.997844 0.068865
3.850000 1.011479 0.067517
3.950000 0.990638 0.064537
4.050000 1.019035 0.063033
4.150000 0.993533 0.060787
4.250000 1.011473 0.061136
4.350000 1.016971 0.059386
4.450000 0.999103 0.057412
4.550000 1.011962 0.056947
4.650000 1.009042 0.055811
4.750000 1.003769 0.054470
4.850000 1.000643 0.053013
4.950000 1.008061 0.051414
5.050000 1.009307 0.051129
5.150000 1.003988 0.049235
5.250000 1.005350 0.049710
5.350000 1.007446 0.048086
5.450000 1.000530 0.047189
5.550000 1.005074 0.046343
5.650000 1.003068 0.045013
5.750000 1.000831 0.045237
5.850000 1.006596 0.044484
5.950000 0.994091 0.043176
6.050000 1.009490 0.043091
6.150000 1.002043 0.042681
6.250000 0.995991 0.040505
6.350000 1.007808 0.041340
6.450000 0.993607 0.039638
6.550000 1.004018 0.039013
6.650000 1.000246 0.038478
6.750000 1.001115 0.038777
6.850000 1.001494 0.037784
6.950000 0.991587 0.037037
7.050000 1.004709 0.036453
7.150000 0.995145 0.035065
7.250000 1.000226 0.035732
7.350000 1.006191 0.034952
7.450000 0.995085 0.034056
7.550000 1.001545 0.033093
7.650000 0.996983 0.033253
7.750000 1.000480 0.033371
7.850000 0.999908 0.032347
7.950000 0.996150 0.032303
8.050000 1.007810 0.032370
8.150000 0.998551 0.030927
8.250000 1.001761 0.030955
8.350000 0.995115 0.030742
8.450000 0.996480 0.030275
8.550000 1.003919 0.030239
8.650000 0.999403 0.029758
8.750000 1.001188 0.029499
8.850000 1.002379 0.029632
8.950000 0.998391 0.028768
9.050000 0.999713 0.028210
9.150000 1.000945 0.028430
9.250000 0.998921 0.027770
9.350000 0.999758 0.026982
9.450000 0.996745 0.027855
